receipt id,product,quantity,Category,Subcategory
12009,mongozo afrikaans bier,4,Beverage,Beer
12009,tibs,1,Main course,Meat
12009,key wet (bere),1,Main course,Meat
12127,meser wet be sega,1,Main course,Meat
12127,banana split,1,Dessert,
12127,ice tea,1,Beverage,Soda
12131,tibs,1,Main course,Meat
12036,key wet (bere),1,Main course,Meat
12037,mango sap,1,Beverage,Juice
12037,mongozo afrikaans bier,2,Beverage,Beer
12037,spa blauw/rood liter,1,Beverage,Water
12037,shiro wet,1,Main course,Non-meat
12037,dhoro wet,1,Main course,Non-meat
12040,combi vlees,1,Main course,Meat
11965,koffie 1 persoon,1,Beverage,Hot
11965,thee 1 persoon,1,Beverage,Hot
11965,mango sap,2,Beverage,Juice
11965,combi vlees,1,Main course,Meat
11965,tibs,1,Main course,Meat
11967,keey wet (beg),1,Main course,Meat
11967,tibs,1,Main course,Meat
11967,assa wet (tonijn),1,Main course,Fish
11967,gomen wet,1,Main course,Vegetarian
11967,bavaria bier,1,Beverage,Beer
11967,mongozo afrikaans bier,2,Beverage,Beer
11967,ice tea,1,Beverage,Soda
12117,ice tea,1,Beverage,Soda
12117,combi vlees,1,Main course,Meat
12117,key wet (bere),1,Main course,Meat
12117,mongozo afrikaans bier,2,Beverage,Beer
12099,denech be sega,1,Main course,Meat
12099,ice tea,1,Beverage,Soda
12100,tibs,4,Main course,Meat
12100,mongozo afrikaans bier,1,Beverage,Beer
12100,spa blauw/rood liter,1,Beverage,Water
12098,ice tea,2,Beverage,Soda
12098,mango sap,1,Beverage,Juice
12098,doro,1,Starter,Meat
12098,minchet abisch,1,Main course,Meat
12098,vani mango,1,Dessert,
12098,poire belle helene,1,Dessert,
11918,zuid-afrikaans wijn glas,2,Beverage,Wine
11918,mango sap,1,Beverage,Juice
11918,tonijn salade,1,Starter,Fish
11918,kinche,1,Starter,Vegitarian
11918,combi vlees,2,Main course,Meat
11918,poire belle helene,2,Dessert,
11922,mongozo afrikaans bier,2,Beverage,Beer
11922,mesto,1,Main course,Meat
11922,goden tibs,1,Main course,Meat
11922,normale salade,1,Starter,
11922,frisdrank,2,Beverage,Soda
11908,tibs,1,Main course,Meat
11908,enjera,3,Other,
11921,frisdrank,1,Beverage,Soda
11921,mango sap,1,Beverage,Juice
11921,keey wet (beg),1,Main course,Meat
11921,alicha wet bere,1,Main course,Meat
11921,zuid-afrikaans wijn glas,1,Beverage,Wine
11921,zuid-afrikaans rose glas,1,Beverage,Wine
12137,mongozo afrikaans bier,4,Beverage,Beer
12137,zuid-afrikaans rose glas,1,Beverage,Wine
12137,combi vlees,3,Main course,Meat
11999,mango sap,1,Beverage,Juice
11999,frisdrank,3,Beverage,Soda
11999,kita,1,Starter,Vegitarian
11999,combi vlees en vegi,1,Main course,Meat
11999,combi vlees,1,Main course,Meat
11927,spa blauw/rood liter,1,Beverage,Water
11927,combi vegi,1,Main course,Vegitarian
11927,combi vlees,1,Main course,Meat
11927,kita,1,Starter,Vegitarian
11927,doro,1,Starter,Meat
11934,combi vlees en vegi,2,Main course,Meat
11934,frisdrank,4,Beverage,Soda
11928,tibs,3,Main course,Meat
11928,enjera,4,Other,
11937,mongozo afrikaans bier,3,Beverage,Beer
11937,frisdrank,1,Beverage,Soda
12056,frisdrank,3,Beverage,Soda
12056,ice tea,2,Beverage,Soda
12056,soep,1,Starter,Vegitarian
12056,denech be sega,1,Main course,Meat
12056,normale salade,1,Starter,Vegitarian
12056,kita,1,Starter,Vegitarian
12056,combi vlees,3,Main course,Meat
12057,frisdrank,2,Beverage,Soda
12057,soep,1,Starter,Vegitarian
12057,normale salade,1,Starter,Vegitarian
12057,combi vegi,2,Main course,Vegitarian
12057,mongozo afrikaans bier,4,Beverage,Beer
11879,mongozo afrikaans bier,4,Beverage,Beer
11879,tibs,2,Main course,Meat
11889,spa blauw/rood liter,1,Beverage,Water
11889,zuid-afrikaans rose fles,1,Beverage,Wine
11889,kinche,1,Starter,Vegitarian
11889,doro,1,Starter,Meat
11889,combi-vlees en vegi,2,Main course,Meat
11889,koffie 2-3 personen,1,Beverage,Hot
11889,poire belle helene,2,Beverage,Hot
11885,combi vegi,1,Main course,Vegetarian
11885,combi vlees en vegi,1,Main course,Meat
11885,thee 2-3 personen,1,Beverage,Hot
11885,zuid-afrikaans rose 0.5,1,Beverage,Wine
11884,mongozo afrikaans bier,10,Beverage,Beer
11884,combi vlees en vegi,4,Main course,Meat
11882,combi vlees en vegi,2,Main course,Meat
11882,zuid-afrikaans rose glas,1,Beverage,Wine
11881,key wet (bere),1,Main course,Meat
11890,mongozo afrikaans bier,2,Beverage,Beer
11890,bavaria bier,2,Beverage,Beer
11890,combi vegi,2,Main course,Vegetarian
11896,doro wet alicha,2,Main course,Meat
11896,meser wet be sega,1,Main course,Meat
11896,zuid-afrikaans rose glas,1,Beverage,Wine
11896,zuid-afrikaans wijn glas,1,Beverage,Wine
11896,tiramisu,1,Dessert,
11896,vani mango,1,Beverage,Juice
11898,frisdrank,2,Beverage,Soda
11898,spa blauw/rood liter,1,Beverage,Water
11898,tibs,2,Main course,Meat
12122,frisdrank,1,Beverage,Soda
12122,mango sap,1,Beverage,Juice
12122,combi vlees en vegi,1,Main course,Meat
12122,combi vegi,1,Main course,Vegetarian
12079,mongozo afrikaans bier,6,Beverage,Beer
12079,combi vlees en vegi,4,Main course,Meat
12079,vani mango,2,Dessert,
12078,zelzel tibs (rund),1,Main course,Meat
12078,key wet (bere),1,Main course,Meat
12078,mongozo afrikaans bier,2,Beverage,Beer
12078,thee 1 persoon,1,Beverage,Hot
12074,frisdrank,3,Beverage,Soda
12074,ice tea,1,Beverage,Soda
12074,mongozo afrikaans bier,1,Beverage,Beer
12074,koffie 4-6 personen,1,Beverage,Hot
12074,combi vlees en vegi,2,Main course,Meat
12074,combi vegi,1,Main course,Vegetarian
12074,poire belle helene,2,Dessert,
12074,vani mango,1,Dessert,
12071,zelzel tibs (rund),1,Main course,Meat
12071,tibs,1,Main course,Meat
12071,mongozo afrikaans bier,4,Beverage,Beer
12071,zuid-afrikaans wijn glas,1,Beverage,Wine
12071,koffie 1 persoon,1,Beverage,Hot
12073,mango sap,1,Beverage,Juice
12073,combi vegi,1,Main course,Vegetarian
12073,tibs,1,Main course,Meat
12090,mango sap,3,Beverage,Juice
12090,mongozo afrikaans bier,2,Beverage,Beer
12090,bavaria bier,2,Beverage,Beer
12090,zuid-afrikaans wijn glas,5,Beverage,Wine
12090,frisdrank,1,Beverage,Soda
12090,ice tea,8,Beverage,Soda
12090,kita,6,Starter,
12090,doro,3,Starter,
12090,kinche,1,Starter,
12090,zetzel tibs (kip),4,Main course,Meat
12090,dhoro wet,1,Main course,Meat
12090,minchet abisch,1,Main course,Meat
12090,combi vegi,1,Main course,Vegetarian
12090,kinderijsje,1,Dessert,
12087,thee 1 persoon,1,Beverage,Hot
12087,mango sap,4,Beverage,Juice
12087,bavaria bier,2,Beverage,Beer
12087,combi vegi,2,Main course,Vegetarian
12087,soep,1,Starter,
12087,keey wet (beg),2,Main course,Meat
12087,tiramisu,1,Dessert,
12067,mango sap,1,Beverage,Juice
12067,frisdrank,5,Beverage,Soda
12067,key wet (bere),1,Main course,Meat
12067,dhoro wet,1,Main course,Meat
12067,tibs,1,Main course,Meat
12067,zelzel tibs (rund),1,Main course,Meat
12067,spa blauw/rood liter,1,Beverage,Water
12031,combi vegi,2,Main course,Vegetarian
12031,combi vlees en vegi,1,Main course,Meat
12031,zelzel tibs (rund),1,Main course,Meat
12031,tibs,1,Main course,Meat
12031,frisdrank,4,Beverage,Soda
12031,mongozo afrikaans bier,4,Beverage,Beer
12031,spa blauw/rood liter,1,Beverage,Water
12031,zuid-afrikaans wijn glas,1,Beverage,Wine
12024,enjera,4,Other,
12024,tibs,1,Main course,Meat
12024,dhoro wet,1,Main course,Meat
12025,frisdrank,3,Beverage,Soda
12025,key wet (bere),1,Main course,Meat
12025,combi vlees en vegi,1,Main course,Meat
12026,tibs,2,Main course,Meat
12002,tibs,1,Main course,Meat
12002,zelzel tibs (rund),1,Main course,Meat
12002,frisdrank,1,Beverage,Soda
12002,spa blauw/rood liter,1,Beverage,Water
12002,thee 2-3 personen,1,Beverage,Hot
11981,mongozo afrikaans bier,1,Beverage,Beer
11981,frisdrank,1,Beverage,Soda
11981,tibs,1,Main course,Meat
11981,combi vlees en vegi,1,Main course,Meat
11940,mango sap,4,Beverage,Juice
11940,combi vlees en vegi,3,Main course,Meat
11940,mongozo afrikaans bier,1,Beverage,Beer
11954,tibs,2,Main course,Meat
11951,frisdrank,1,Beverage,Soda
11951,bavaria bier,1,Beverage,Beer
11951,mongozo afrikaans bier,1,Beverage,Beer
11951,zetzel tibs (kip),1,Main course,Meat
11951,tibs,1,Main course,Meat
11951,zelzel tibs (rund),1,Main course,Meat
11951,combi vlees en vegi,1,Main course,Meat
11951,mongozo afrikaans bier,2,Beverage,Beer
11951,vani mango,2,Dessert,
11938,tibs,1,Main course,Meat
11938,zelzel tibs (rund),1,Main course,Meat
11938,koffie 1 persoon,1,Beverage,Hot
11938,mongozo afrikaans bier,2,Beverage,Beer
11938,frisdrank,1,Beverage,Soda
11943,mango sap,2,Beverage,Juice
11943,combi vegi,1,Main course,Vegetarian
11943,combi vlees en vegi,1,Main course,Meat
11943,vani mango,2,Dessert,
11943,thee 1 persoon,2,Beverage,Hot
11944,mongozo afrikaans bier,4,Beverage,Beer
11944,frisdrank,2,Beverage,Soda
11944,ice tea,1,Beverage,Soda
11944,combi vlees en vegi,3,Main course,Meat
11944,verse banaan,3,Dessert,
11944,vani mango,1,Dessert,
12077,frisdrank,1,Beverage,Soda
12077,mongozo afrikaans bier,1,Beverage,Beer
12077,super combi,2,Main course,Meat
12076,bavaria bier,1,Beverage,Beer
12076,mongozo afrikaans bier,1,Beverage,Beer
12076,zuid-afrikaans wijn glas,2,Beverage,Wine
12076,combi vlees en vegi,3,Main course,Meat
12075,bavaria bier,1,Beverage,Beer
12075,mongozo afrikaans bier,1,Beverage,Beer
12075,combi vlees en vegi,2,Main course,Meat